hospital,delivery,year,cases_c-section,cases_kidney,Inst,Doctor,Doctor in postgrad formation,Nursing staff,Other Nursing staff,Total staff,Operation rooms,Delivery rooms,patient in private division
GE,4 048,2015,1196,35,Les Hôpitaux Universitaires de Genève HUG,1676.08,,4200.28,983.58,9936.21,38.0,7.0,9.59
VD,2 909,2015,963,52,CHUV Centre Hospitalier Universitaire Vaudois,1586.9,,3263.07,1578.87,9413.29,29.0,6.0,7.26
ZH,2 839,2015,1226,83,Universitätsspital Zürich,1205.53,,2207.53,1049.24,6431.54,34.0,8.0,20.13
BS,2 509,2015,912,80,Universitätsspital Basel,877.81,,1676.8,610.12,4764.8,24.0,5.0,21.75
BE,1 639,2015,681,40,Insel Gruppe AG (universitär),1229.17,,2594.96,869.81,6764.86,34.0,5.0,16.63
GE,3 955,2016,1189,38,Les Hôpitaux Universitaires de Genève HUG,1749.46,,4286.0,1023.27,10230.49,38.0,7.0,0.1012251632
VD,3 133,2016,962,56,CHUV Centre Hospitalier Universitaire Vaudois,1617.09,,3324.91,1598.4,9593.28,29.0,6.0,0.06945987083
ZH,2 820,2016,1281,89,Universitätsspital Zürich,1234.19,,2343.63,1050.1,6660.39,35.0,8.0,0.2107740711
BS,2 612,2016,914,70,Universitätsspital Basel,895.5,,1643.02,720.46,4892.7,24.0,5.0,0.2162362841
BE,1 599,2016,662,39,Insel Gruppe AG (universitär),1269.52,,2673.94,922.62,7122.89,34.0,5.0,0.1704004542
GE,4 078,2017,1189,33,Les Hôpitaux Universitaires de Genève HUG,1829.32,,4498.96,1070.7,10825.3,39.0,8.0,0.097723228392
VD,3 073,2017,878,55,CHUV Centre Hospitalier Universitaire Vaudois,1653.73,,3400.37,1651.01,9804.75,26.0,6.0,0.0732079619
ZH,2 792,2017,1206,96,Universitätsspital Zürich,1221.75,,2574.21,1119.99,7025.11,35.0,8.0,0.20580227209
BS,2 672,2017,936,79,Universitätsspital Basel,913.5,,1595.22,735.93,4901.42,24.0,5.0,0.21682613706
BE,1 689,2017,711,53,Insel Gruppe AG (universitär),1355.66,,2739.25,963.58,7315.84,37.0,5.0,0.16207790019
GE,4 082,2018,1148,40,Les Hôpitaux Universitaires de Genève HUG,1873.2,,4529.22,1099.47,11001.81,39.0,8.0,0.097247584581
VD,3 219,2018,899,52,CHUV Centre Hospitalier Universitaire Vaudois,1668.23,,3517.55,1701.05,10036.4,26.0,6.0,0.080111697177
ZH,2 807,2018,1242,89,Universitätsspital Zürich,1381.68,,2585.77,1091.53,7213.35,35.0,8.0,0.20000469329
BS,2 743,2018,943,93,Universitätsspital Basel,930.17,,1657.23,720.95,5029.95,30.0,8.0,0.20565220899
BE,1 823,2018,818,66,Insel Gruppe AG (universitär),1430.04,,2840.23,1022.45,7659.42,37.0,5.0,0.16046914293
GE,4 149,2019,1054,38,Les Hôpitaux Universitaires de Genève HUG,1916.51,998.66,4594.12,1109.74,11125.69,39.0,12.0,0.09504350991
VD,3 121,2019,905,58,CHUV Centre Hospitalier Universitaire Vaudois,1817.6,765.96,3415.06,1759.47,10196.65,26.0,6.0,0.079722452361
ZH,2 771,2019,1212,86,Universitätsspital Zürich,1425.59,742.2,2574.53,1124.2,7344.58,34.0,8.0,0.20232590083
BS,2 713,2019,945,76,Universitätsspital Basel,985.56,455.28,1719.8,849.65,5194.11,30.0,8.0,0.20458191957
BE,1 850,2019,830,56,Insel Gruppe AG (universitär),1459.81,626.45,2838.12,1054.82,7736.32,37.0,5.0,0.15664531301
GE,3 914,2020,981,21,Les Hôpitaux Universitaires de Genève HUG,2034.89,1060.35,5020.78,1177.05,11833.03,42.0,11.0,0.095876307613
VD,3 060,2020,774,41,CHUV Centre Hospitalier Universitaire Vaudois,1847.28,965.6,3468.02,1797.16,10411.82,26.0,6.0,0.077339554538
ZH,2 582,2020,1222,97,Universitätsspital Zürich,1468.23,752.0,2648.76,1120.9,7574.72,34.0,8.0,0.19362807518
BS,2 517,2020,928,63,Universitätsspital Basel,1025.43,483.08,1820.78,876.16,5392.25,30.0,8.0,0.20571647593
BE,1 839,2020,813,59,Insel Gruppe AG (universitär),1478.55,665.94,2926.15,1090.13,7801.03,37.0,5.0,0.15052734587
GE,4 049,2021,1054,68,Les Hôpitaux Universitaires de Genève HUG,2069.22,1064.15,5096.18,1218.45,12101.94,41.0,11.0,0.10506715401
VD,3 060,2021,741,62,CHUV Centre Hospitalier Universitaire Vaudois,1918.0,995.27,3515.57,1882.29,10803.24,26.0,6.0,0.070557744143
BS,2 663,2021,987,78,Universitätsspital Basel,1016.14,464.76,1862.82,850.7,5469.64,30.0,8.0,0.20622175088
ZH,2 643,2021,1253,81,Universitätsspital Zürich,1493.21,775.06,2675.68,1117.67,7657.61,34.0,8.0,0.19145482695
BE,2 141,2021,965,50,Insel Gruppe AG (universitär),1492.96,684.9,2925.16,1113.81,7885.94,37.0,5.0,0.14637016354
